PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P780
Station name, Cerrillos_PR2008
Begin Date, 2008-05-27
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, P780.pbo.nam08.pos
Offset from source file, 22.92 mm North, 57.28 mm East, 3.96 mm Vertical
Reference position, 18.0750256874 North Latitude, -66.5791345794 East Longitude, 154.08664 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-05-27,0.00, 0.00, 0.00, 6.25, 8.39, 33.41, repro,
2008-05-28,-2.46, -0.52, 1.80, 1.77, 2.22, 8.52, repro,
2008-05-29,0.40, 2.76, 8.75, 1.84, 2.27, 8.85, repro,
2008-05-30,-0.49, 1.55, 9.73, 1.53, 1.99, 7.47, repro,
2008-05-31,-0.61, 0.18, 10.35, 1.65, 2.06, 8, repro,
2008-06-01,-1.45, 0.85, 13.54, 1.69, 2.12, 8.18, repro,
2008-06-02,1.53, 0.58, 12.78, 1.81, 2.27, 8.78, repro,
2008-06-03,2.59, 2.44, 9.62, 1.78, 2.22, 8.62, repro,
2008-06-04,1.61, -0.07, 13.26, 1.7, 2.12, 8.27, repro,
2008-06-05,2.55, -0.57, 2.15, 1.78, 2.2, 8.61, repro,
2008-06-06,2.13, 3.27, 7.29, 1.56, 1.97, 7.57, repro,
2008-06-07,5.89, 2.49, 14.06, 1.75, 2.15, 8.52, repro,
2008-06-08,2.76, 1.39, 6.98, 2.09, 2.64, 9.99, repro,
2008-06-09,3.31, 3.72, 16.41, 1.83, 2.19, 8.75, repro,
2008-06-10,1.29, 3.89, 1.71, 1.78, 2.31, 8.39, repro,
2008-06-11,-0.74, 6.63, 20.16, 2.21, 2.85, 10.72, repro,
2008-06-12,1.24, 3.26, 2.56, 1.7, 2.1, 8.29, repro,
2008-06-13,-1.17, 3.13, -10.59, 1.76, 2.17, 8.5, repro,
2008-06-14,3.15, 3.39, -4.79, 1.8, 2.24, 8.62, repro,
2008-06-15,1.31, 3.76, 5.27, 1.74, 2.19, 8.4, repro,
2008-06-16,4.32, 2.38, -14.44, 1.75, 2.17, 8.47, repro,
2008-06-17,3.17, 3.69, -3.55, 1.73, 2.14, 8.35, repro,
2008-06-18,3.28, 5.10, 2.81, 1.86, 2.28, 9.11, repro,
2008-06-19,2.43, 2.45, 4.40, 1.43, 1.79, 6.92, repro,
2008-06-20,4.59, 5.19, -6.78, 1.71, 2.15, 8.31, repro,
2008-06-21,1.56, 4.68, -1.98, 1.64, 2.05, 7.93, repro,
2008-06-22,2.99, 7.57, -7.22, 1.85, 2.43, 8.89, repro,
2008-06-23,2.81, 5.98, -17.45, 1.94, 2.52, 9.42, repro,
2008-06-24,4.22, 6.50, -2.31, 1.59, 2.01, 7.73, repro,
2008-06-25,3.67, 7.52, -9.92, 1.54, 1.92, 7.38, repro,
2008-06-26,1.88, 6.57, 4.20, 1.76, 2.28, 8.47, repro,
2008-06-27,2.94, 4.57, 0.25, 1.71, 2.15, 8.26, repro,
2008-06-28,3.74, 7.98, 3.95, 1.69, 2.12, 8.1, repro,
2008-06-29,2.50, 6.67, 3.37, 1.64, 2.03, 7.91, repro,
2008-06-30,-0.85, 9.58, -9.98, 1.61, 2.03, 7.77, repro,
2008-07-01,3.19, 3.50, 4.77, 1.8, 2.37, 8.66, repro,
2008-07-02,2.74, 4.27, -13.35, 1.83, 2.28, 8.82, repro,
2008-07-03,2.46, 4.81, -1.69, 1.7, 2.12, 8.16, repro,
2008-07-04,1.88, 5.28, -0.91, 1.66, 2.08, 8.03, repro,
2008-07-05,-0.89, 1.76, -0.27, 1.89, 2.53, 9.05, repro,
2008-07-06,2.04, 3.59, -9.43, 1.97, 2.53, 9.58, repro,
2008-07-07,5.05, 8.17, -3.99, 1.7, 2.12, 8.18, repro,
2008-07-08,3.73, 6.43, -5.00, 1.57, 1.97, 7.55, repro,
2008-07-09,-0.37, 4.06, 0.03, 1.86, 2.35, 8.74, repro,
2008-07-10,1.50, 3.44, -1.29, 1.7, 2.25, 8.13, repro,
2008-07-11,3.47, 3.80, 6.81, 1.67, 2.16, 7.91, repro,
2008-07-12,0.85, 3.42, -1.96, 1.65, 2.07, 7.74, repro,
2008-07-13,0.20, 8.14, 7.62, 1.7, 2.14, 7.99, repro,
2008-07-14,1.80, 4.57, 3.54, 1.71, 2.12, 8.11, repro,
2008-07-15,1.79, 11.85, -7.15, 1.88, 2.42, 8.89, repro,
2008-07-16,1.36, 9.26, -13.92, 1.72, 2.13, 8.21, repro,
2008-07-17,4.57, 7.80, -13.37, 1.68, 2.08, 8.04, repro,
2008-07-18,2.61, 7.23, 0.93, 1.91, 2.51, 9.13, repro,
2008-07-19,3.90, 2.84, -5.31, 2.06, 2.6, 9.86, repro,
2008-07-20,4.38, 5.49, -13.20, 2.15, 2.52, 10.18, repro,
2008-07-21,0.48, 6.10, 1.89, 1.78, 2.22, 8.54, repro,
2008-07-22,1.80, 3.42, 1.23, 1.92, 2.5, 9.07, repro,
2008-07-23,2.14, 2.33, 3.64, 2.05, 2.76, 9.86, repro,
2008-07-24,0.60, 6.87, 20.84, 2.23, 2.71, 10.95, repro,
2008-07-25,-1.73, 2.14, -1.04, 2.15, 2.71, 10.49, repro,
2008-07-26,1.00, 3.72, 3.66, 1.72, 2.13, 8.09, repro,
2008-07-27,2.84, 3.96, 4.25, 1.83, 2.26, 8.72, repro,
2008-07-28,5.84, 3.73, -0.57, 1.66, 2.16, 7.86, repro,
2008-07-29,2.15, 2.90, -3.71, 1.76, 2.27, 8.33, repro,
2008-07-30,5.71, 10.09, -0.30, 1.89, 2.4, 9, repro,
2008-07-31,6.71, 9.48, 13.04, 2.04, 2.75, 9.84, repro,
2008-08-01,0.77, 8.66, -1.52, 1.89, 2.49, 9, repro,
2008-08-02,2.75, 2.21, 9.48, 1.54, 1.92, 7.36, repro,
2008-08-03,3.79, 5.29, 16.85, 1.88, 2.4, 8.82, repro,
2008-08-04,5.05, 4.82, -6.12, 2.3, 2.95, 10.72, repro,
2008-08-05,2.39, 5.45, 0.56, 1.67, 2.06, 7.93, repro,
2008-08-06,2.96, 4.88, 8.09, 1.64, 2.08, 7.92, repro,
2008-08-07,3.69, 4.23, -4.47, 1.75, 2.14, 8.49, repro,
2008-08-08,4.73, 3.87, 0.02, 1.71, 2.12, 8.2, repro,
2008-08-09,1.09, 4.74, 13.68, 1.82, 2.36, 8.71, repro,
2008-08-10,6.10, 6.39, 2.26, 1.8, 2.27, 8.67, repro,
2008-08-11,4.31, 4.93, 1.88, 1.7, 2.18, 8.25, repro,
2008-08-12,6.71, 7.98, 0.03, 1.66, 2.17, 8.06, repro,
2008-08-13,0.29, 5.36, 6.26, 2.21, 2.94, 10.65, repro,
2008-08-14,-0.14, 4.84, -1.84, 1.87, 2.42, 9.17, repro,
2008-08-15,3.04, 6.66, 25.20, 1.76, 2.24, 8.56, repro,
2008-08-16,4.43, 8.72, 1.96, 2.08, 2.51, 10.11, repro,
2008-08-17,3.22, 7.78, 2.67, 1.96, 2.49, 9.32, repro,
2008-08-18,2.54, 8.21, 0.12, 1.96, 2.36, 9.67, repro,
2008-08-19,3.90, 4.30, 0.28, 1.79, 2.25, 8.69, repro,
2008-08-20,5.90, 5.76, 11.11, 1.82, 2.31, 8.87, repro,
2008-08-21,5.61, 5.75, -1.60, 1.87, 2.44, 9.07, repro,
2008-08-22,4.48, 8.33, 13.28, 1.93, 2.38, 9.26, repro,
2008-08-23,6.32, 8.52, 13.75, 1.57, 1.99, 7.57, repro,
2008-08-24,7.35, 9.72, 8.95, 1.61, 2.02, 7.74, repro,
2008-08-25,4.33, 6.82, 10.19, 1.72, 2.16, 8.27, repro,
2008-08-26,5.10, 6.11, 4.91, 1.46, 1.85, 7, repro,
2008-08-27,4.46, 5.85, 13.09, 1.82, 2.2, 8.68, repro,
2008-08-28,5.93, 7.16, 14.10, 1.91, 2.55, 9.32, repro,
2008-08-29,5.73, 3.91, 18.55, 1.95, 2.37, 9.56, repro,
2008-08-30,5.15, 7.91, -4.52, 1.8, 2.2, 8.66, repro,
2008-08-31,3.45, 2.97, 6.38, 2.24, 2.74, 11.26, repro,
2008-09-01,1.31, 4.51, 9.99, 2.26, 3.07, 11.16, repro,
2008-09-02,8.43, 4.20, 14.27, 1.93, 2.36, 9.25, repro,
2008-09-03,6.95, 7.33, 8.84, 2.14, 2.59, 10.43, repro,
